,number,state,value,datetime_start,datetime_complete,params,params,params,params,params,params,params,params,params,user_attrs,user_attrs,user_attrs,user_attrs,user_attrs,user_attrs,user_attrs,user_attrs,user_attrs,user_attrs,user_attrs,user_attrs,system_attrs,system_attrs
,,,,,,extra_porc,inc_filter,input_factor,learning_rate,loss_string,max_pool_layers,replace_max_pool_with_stride,st_filter,stack_layers,0_IOU,0_precision,0_recall,1_IOU,1_precision,1_recall,eval_time_bs10,global_IOU,global_loss_test,global_precision,global_recall,out_path,_number,fail_reason
15,15,TrialState.COMPLETE,0.0,2019-10-12 19:14:33.014606,2019-10-12 19:31:26.168801,1,50.0,0.25,0.001,mse,True,False,30.0,4,0.04169072419391639,0.0,0.0,0.03175572022463043,0.0,0.0,0.01050551732381185,0.03672322220927341,0.06872345507144928,0.0,0.0,clf_images/saved_models/clf_enemy/12_Oct_2019__19_30_15,15,
16,16,TrialState.COMPLETE,0.0,2019-10-12 19:31:26.462522,2019-10-12 19:47:53.490244,1,50.0,0.25,0.001,mse,True,False,30.0,4,0.04169072419391639,0.0,0.0,0.03175572022463043,0.0,0.0,0.01041865348815918,0.03672322220927341,0.06872345507144928,0.0,0.0,clf_images/saved_models/clf_enemy/12_Oct_2019__19_46_43,16,
17,17,TrialState.COMPLETE,0.0,2019-10-12 19:47:53.787933,2019-10-12 20:04:22.801403,1,50.0,0.25,0.001,mse,True,False,40.0,4,0.04169072419391639,0.0,0.0,0.03175572022463043,0.0,0.0,0.02113652229309082,0.03672322220927341,0.06872345507144928,0.0,0.0,clf_images/saved_models/clf_enemy/12_Oct_2019__20_03_11,17,
18,18,TrialState.RUNNING,,2019-10-12 20:04:23.080722,,1,50.0,0.25,0.001,mse,True,False,30.0,4,,,,,,,,,,,,,18,
19,19,TrialState.FAIL,,2019-10-12 20:15:00.926647,2019-10-12 20:15:04.637523,1,50.0,0.25,0.001,,True,,30.0,3,,,,,,,,,,,,,19,"Setting status of trial#19 as TrialState.FAIL because of the following error: IndexError('tuple index out of range',)"
20,20,TrialState.FAIL,,2019-10-12 20:15:04.765694,2019-10-12 20:15:07.571818,1,50.0,0.25,0.001,,True,,30.0,3,,,,,,,,,,,,,20,"Setting status of trial#20 as TrialState.FAIL because of the following error: IndexError('tuple index out of range',)"
21,21,TrialState.RUNNING,,2019-10-12 20:15:07.698933,,1,50.0,,,,True,,30.0,3,,,,,,,,,,,,,21,
22,22,TrialState.COMPLETE,0.02395209580838323,2019-10-12 20:16:23.063438,2019-10-12 20:17:28.999380,1,50.0,0.25,0.001,,True,False,30.0,3,0.018944625308669916,0.024657534246575342,0.3,0.009092973873468921,0.002369668246445498,0.05555555555555555,0.019389867782592773,0.013662037118511315,0.5985594987869263,0.012706480304955527,0.20833333333333334,clf_images/saved_models/clf_enemy/12_Oct_2019__20_17_10,22,
23,23,TrialState.COMPLETE,0.06524184476940383,2019-10-12 20:17:29.457044,2019-10-12 20:18:20.061322,1,30.0,0.25,0.001,,True,False,30.0,2,0.018215040927187457,0.037549407114624504,0.5757575757575758,0.01594375999568067,0.030120481927710843,0.5555555555555556,0.011843125025431315,0.017315201703726534,0.3987791836261749,0.034606205250596656,0.5686274509803921,clf_images/saved_models/clf_enemy/12_Oct_2019__20_18_03,23,
24,24,TrialState.COMPLETE,0.15168539325842695,2019-10-12 20:18:20.792229,2019-10-12 20:19:07.309937,4,30.0,0.25,0.001,,True,False,30.0,1,0.054437379557496654,0.11666666666666667,0.6363636363636364,0.03674714516270536,0.048,0.3333333333333333,0.00869599978129069,0.0471872834940576,0.3452969193458557,0.08852459016393442,0.5294117647058824,clf_images/saved_models/clf_enemy/12_Oct_2019__20_18_53,24,
25,25,TrialState.COMPLETE,0.005934718100890207,2019-10-12 20:19:07.768042,2019-10-12 20:20:04.839615,3,30.0,0.25,0.001,,True,False,30.0,3,0.019352432797665364,0.007633587786259542,0.06666666666666667,0.007967057381325072,0.0,0.0,0.011294285456339518,0.01273218255557612,0.37125712633132935,0.003194888178913738,0.041666666666666664,clf_images/saved_models/clf_enemy/12_Oct_2019__20_19_50,25,
